l1neo	random	mrc
352508	4114	3627
352956	4119	3653
357130	4133	3661
357239	4141	3664
359286	4158	3666
360147	4177	3666
362395	4183	3674
365076	4199	3674
365640	4223	3700
365786	4303	3731
368500	4308	3741
375108	4361	3748
375415	4371	3760
375571	4374	3760
376467	4377	3771
376575	4381	3787
377838	4383	3787
379110	4388	3792
379518	4395	3803
379941	4402	3827
381463	4405	3840
381571	4405	3847
382769	4423	3847
382935	4434	3849
384427	4445	3853
385133	4446	3854
386251	4474	3866
386526	4474	3873
388414	4493	3900
389225	4498	3903
389489	4537	3911
389651	4541	3915
390805	4585	3919
390977	4589	3987
395983	4595	3987
398699	4602	4025
401265	4612	4047
401913	4612	4072
402407	4625	4090
404199	4638	4099
404228	4644	4150
405234	4648	4152
407164	4652	4153
407963	4658	4160
408038	4682	4175
409503	4696	4235
410620	4717	4235
411162	4726	4243
413006	4730	4246
413939	4731	4252
416255	4734	4281
417167	4734	4282
417843	4735	4285
419283	4760	4287
421119	4771	4294
421887	4775	4311
422932	4806	4327
425430	4816	4339
425624	4825	4341
426735	4829	4348
427752	4839	4411
431680	4894	4412
431944	4897	4414
432235	4899	4416
432385	4926	4419
432688	4941	4452
434240	4947	4456
434476	4960	4458
436862	4963	4459
438521	4972	4465
439324	4974	4465
441266	4993	4475
443288	5028	4489
444313	5029	4495
445151	5053	4508
445806	5057	4538
450288	5066	4545
450757	5075	4564
451948	5080	4573
454425	5084	4580
455323	5084	4585
455638	5090	4588
456473	5091	4606
460569	5103	4607
464100	5112	4613
464701	5116	4618
466651	5120	4627
468800	5124	4636
470734	5126	4651
472207	5145	4656
473913	5169	4669
474066	5181	4706
474547	5185	4706
478570	5238	4707
480128	5240	4714
481192	5240	4753
481769	5241	4761
482947	5245	4761
483114	5247	4784
484558	5253	4784
486804	5254	4784
489735	5254	4825
489772	5267	4846
491043	5293	4848
496121	5299	4850
496158	5306	4897
499679	5326	4901
502307	5361	4901
502871	5392	4901
504581	5398	4934
507114	5430	4939
507421	5435	4941
509189	5440	4948
510166	5452	4950
510533	5453	4971
511855	5457	4973
513102	5464	4976
514256	5484	4978
515238	5484	4979
516628	5488	4990
517441	5496	4997
520480	5497	5015
521066	5501	5039
521769	5521	5043
522182	5549	5068
