l1neo	random	mrc
	163378	156469
	163385	156488
	163388	156497
	163398	156501
	163399	156503
	163401	156564
	163435	156570
	163448	156572
	163526	156597
	163530	156601
	163533	156628
	163535	156668
	163549	156714
	163552	156723
	163564	156796
	163564	156805
	163594	156815
	163595	156851
	163599	156888
	163607	156912
	163609	156938
	163613	156978
	163615	157000
	163660	157001
	163664	157012
	163688	157026
	163689	157063
	163695	157078
	163735	157083
	163755	157090
	163781	157098
	163790	157130
	163819	157140
	163823	157142
	163844	157142
	163851	157169
	163851	157169
	163890	157201
	163908	157206
	163911	157206
	163921	157225
	163927	157233
	163929	157240
	163940	157240
	163952	157240
	163973	157242
	163977	157249
	163979	157271
	163981	157278
	163994	157278
	163995	157302
	164003	157303
	164022	157311
	164088	157329
	164091	157334
	164100	157337
	164131	157392
	164156	157410
	164161	157422
	164163	157448
	164164	157452
	164166	157470
	164168	157471
	164228	157472
	164249	157479
	164252	157484
	164279	157501
	164287	157501
	164291	157511
	164305	157517
	164306	157525
	164307	157557
	164313	157565
	164363	157570
	164367	157597
	164370	157600
	164396	157612
	164441	157631
	164449	157633
	164453	157633
	164492	157675
	164506	157684
	164507	157686
	164523	157701
	164547	157717
	164571	157717
	164605	157721
	164633	157741
	164633	157753
	164637	157756
	164638	157759
	164646	157770
	164659	157779
	164694	157779
	164726	157807
	164726	157812
	164736	157831
	164742	157834
	164742	157834
	164743	157881
	164746	157882
	164777	157897
	164780	157900
	164816	157901
	164830	157910
	164861	157938
	164864	157942
	164876	157952
	164928	157971
	164937	157974
	164942	157982
	164955	158008
	164973	158027
	164977	158033
	165003	158035
	165019	158035
	165038	158054
	165038	158055
	165042	158057
	165077	158062
	165105	158062
	165113	158063
	165142	158065
	165158	158065
	165161	158083
	165174	158107
	165179	158120
	165223	158123
	165230	158130
	165243	158133
	165246	158141
	165249	158144
	165251	158176
	165255	158200
	165255	158211
	165256	158280
	165263	158288
	165290	158288
	165348	158291
	165355	158301
	165356	158301
	165368	158304
	165370	158306
	165381	158326
	165406	158331
	165415	158356
	165428	158389
	165430	158394
	165486	158403
	165490	158407
	165494	158426
	165502	158443
	165506	158456
	165507	158462
	165512	158473
	165514	158476
	165517	158480
	165519	158480
	165527	158484
	165536	158521
	165558	158564
	165579	158584
	165613	158594
	165615	158595
	165626	158597
	165627	158608
	165678	158615
	165685	158633
	165691	158642
	165704	158646
	165711	158673
	165712	158678
	165733	158687
	165739	158688
	165760	158691
	165760	158696
	165774	158707
	165782	158719
	165861	158777
	165883	158778
	165892	158780
	165906	158801
	165923	158807
	165924	158807
	165933	158812
	165937	158836
	165943	158847
	165949	158851
	165975	158862
	165981	158862
	166006	158865
	166015	158866
	166045	158867
	166059	158867
	166072	158869
	166085	158869
	166111	158884
	166130	158884
	166183	158924
	166194	158937
	166197	158960
	166213	158979
	166213	158983
	166216	158991
	166231	158995
	166249	159029
	166261	159031
	166261	159037
	166265	159112
	166304	159116
	166336	159154
	166337	159165
	166351	159170
	166352	159203
	166353	159231
	166370	159252
	166378	159252
	166378	159255
	166380	159264
	166383	159266
	166416	159280
	166436	159301
	166500	159302
	166503	159312
	166515	159322
	166519	159324
	166529	159325
	166529	159335
	166540	159368
	166541	159387
	166551	159398
	166587	159398
	166631	159412
	166644	159413
	166652	159444
	166653	159444
	166670	159444
	166671	159446
	166686	159449
	166689	159498
	166692	159520
	166727	159525
	166737	159570
	166745	159584
	166755	159590
	166782	159613
	166801	159619
	166807	159642
	166833	159651
	166838	159654
	166870	159685
	166871	159701
	166892	159723
	166897	159725
	166906	159725
	166910	159725
	166951	159750
	166981	159759
	166989	159778
	166995	159801
	166996	159823
	167019	159846
	167046	159871
	167053	159900
	167071	159932
	167071	159961
	167072	159966
	167085	159979
	167102	159982
	167126	159982
	167144	159986
	167172	160034
	167187	160034
	167210	160041
	167210	160048
	167221	160053
	167228	160074
	167250	160114
	167253	160115
	167291	160125
	167292	160127
	167334	160155
	167343	160160
	167360	160178
	167368	160193
	167374	160254
	167376	160256
	167395	160270
	167398	160271
	167415	160275
	167420	160283
	167420	160284
	167445	160287
	167475	160291
	167475	160297
	167482	160323
	167484	160329
	167490	160362
	167503	160368
	167507	160370
	167510	160406
	167514	160409
	167521	160434
	167536	160463
	167542	160474
	167579	160474
	167590	160486
	167607	160495
	167613	160519
	167626	160549
	167629	160552
	167644	160560
	167653	160560
	167671	160587
	167672	160644
	167683	160648
	167708	160662
	167712	160676
	167720	160708
	167760	160715
	167794	160722
	167823	160738
	167824	160739
	167875	160758
	167884	160780
	167901	160782
	167906	160785
	167924	160801
	167998	160819
	168001	160825
	168004	160826
	168011	160839
	168019	160842
	168048	160847
	168054	160863
	168055	160886
	168067	160891
	168096	160891
	168108	160895
	168137	160897
	168162	160922
	168200	160936
	168231	160951
	168250	160992
	168254	161001
	168258	161006
	168271	161009
	168271	161014
	168283	161032
	168284	161048
	168300	161064
	168306	161084
	168318	161086
	168322	161125
	168324	161138
	168326	161173
	168354	161195
	168357	161212
	168357	161217
	168369	161232
	168373	161234
	168376	161244
	168410	161245
	168430	161253
	168437	161253
	168441	161270
	168453	161270
	168480	161281
	168481	161286
	168486	161286
	168502	161304
	168515	161319
	168526	161331
	168528	161349
	168538	161361
	168558	161362
	168566	161368
	168592	161411
	168613	161417
	168613	161478
	168620	161480
	168642	161486
	168699	161486
	168706	161496
	168756	161496
	168767	161499
	168798	161505
	168809	161507
	168830	161522
	168837	161563
	168896	161563
	168902	161569
	168939	161575
	168964	161584
	168966	161609
	168966	161611
	168975	161623
	168994	161631
	168999	161631
	169030	161638
	169054	161639
	169061	161667
	169086	161684
	169126	161687
	169137	161688
	169142	161698
	169154	161711
	169160	161713
	169167	161736
	169172	161747
	169178	161754
	169182	161764
	169198	161784
	169201	161819
	169204	161822
	169220	161822
	169237	161827
	169244	161831
	169255	161832
	169255	161857
	169267	161891
	169272	161956
	169273	161963
	169296	161983
	169340	162013
	169381	162032
	169422	162032
	169455	162052
	169474	162060
	169478	162069
	169480	162115
	169492	162127
	169495	162187
	169504	162197
	169533	162197
	169538	162220
	169542	162222
	169551	162240
	169589	162247
	169606	162254
	169607	162254
	169634	162254
	169642	162258
	169644	162270
	169649	162275
	169649	162282
	169654	162331
	169656	162337
	169678	162337
	169678	162347
	169689	162367
	169696	162373
	169718	162390
	169719	162396
	169731	162458
	169735	162458
	169750	162460
	169789	162470
	169801	162472
	169802	162475
	169811	162490
	169822	162492
	169829	162552
	169829	162563
	169832	162563
	169857	162563
	169871	162574
	169877	162577
	169879	162594
	169882	162631
	169886	162639
	169891	162650
	169896	162650
	169907	162672
	169907	162692
	169908	162718
	169924	162724
	169928	162742
	169930	162742
	169947	162749
	169950	162749
	169952	162762
	169989	162765
	169995	162781
	170022	162831
	170036	162832
	170038	162836
	170043	162849
	170059	162862
	170064	162863
	170097	162878
	170098	162880
	170099	162882
	170101	162885
	170114	162890
	170118	162910
	170124	162943
	170130	162953
	170136	162960
	170137	162964
	170138	162973
	170144	162985
	170179	163005
	170184	163016
	170201	163016
	170207	163024
	170223	163030
	170246	163041
	170249	163051
	170279	163054
	170285	163059
	170287	163081
	170291	163088
	170308	163088
	170312	163095
	170321	163112
	170340	163118
	170341	163120
	170346	163122
	170350	163127
	170353	163137
	170355	163137
	170356	163143
	170374	163165
	170377	163193
	170385	163233
	170393	163239
	170395	163244
	170407	163247
	170408	163249
	170430	163287
	170440	163303
	170446	163307
	170447	163310
	170455	163319
	170456	163320
	170459	163324
	170466	163352
	170482	163365
	170494	163374
	170496	163374
	170505	163377
	170532	163385
	170533	163399
	170582	163422
	170595	163425
	170604	163431
	170616	163432
	170616	163445
	170627	163446
	170649	163446
	170650	163472
	170656	163488
	170662	163491
	170667	163505
	170673	163505
	170675	163527
	170679	163529
	170695	163529
	170702	163530
	170709	163568
	170711	163577
	170716	163584
	170728	163584
	170730	163586
	170742	163587
	170744	163588
	170764	163591
	170774	163593
	170781	163598
	170798	163601
	170801	163601
	170802	163605
	170838	163614
	170874	163614
	170888	163617
	170900	163625
	170933	163662
	170936	163691
	170941	163699
	170949	163709
	170953	163722
	170955	163730
	170962	163742
	170964	163745
	170987	163753
	170989	163754
	170994	163763
	171012	163776
	171018	163781
	171020	163790
	171023	163795
	171029	163799
	171033	163803
	171035	163818
	171051	163838
	171055	163842
	171058	163856
	171061	163860
	171066	163892
	171084	163895
	171086	163896
	171093	163905
	171111	163905
	171124	163911
	171128	163918
	171128	163930
	171173	163944
	171196	163973
	171223	163988
	171230	164006
	171316	164025
	171322	164040
	171344	164046
	171355	164058
	171382	164059
	171392	164102
	171414	164104
	171421	164118
	171433	164129
	171441	164129
	171450	164133
	171461	164135
	171500	164138
	171508	164144
	171519	164150
	171519	164151
	171532	164160
	171533	164166
	171562	164192
	171586	164200
	171595	164204
	171598	164209
	171611	164217
	171617	164238
	171638	164244
	171651	164260
	171655	164289
	171678	164299
	171685	164303
	171698	164313
	171709	164330
	171710	164332
	171730	164346
	171745	164383
	171762	164391
	171783	164397
	171799	164401
	171806	164402
	171818	164408
	171829	164420
	171836	164424
	171856	164425
	171856	164425
	171856	164462
	171861	164466
	171873	164468
	171883	164479
	171892	164505
	171898	164601
	171903	164601
	171907	164607
	171908	164609
	171909	164613
	171923	164626
	171925	164626
	171944	164631
	171954	164631
	171963	164648
	171969	164690
	171979	164696
	171998	164696
	172000	164698
	172013	164699
	172039	164722
	172067	164726
	172084	164731
	172090	164733
	172114	164747
	172116	164789
	172144	164800
	172157	164813
	172166	164817
	172167	164828
	172175	164835
	172182	164864
	172198	164873
	172211	164904
	172224	164905
	172246	164911
	172254	164917
	172258	164950
	172327	164970
	172337	164993
	172342	165038
	172343	165060
	172349	165066
	172362	165068
	172402	165104
	172405	165116
	172408	165127
	172411	165153
	172416	165161
	172416	165169
	172443	165176
	172478	165178
	172480	165196
	172493	165228
	172498	165235
	172522	165246
	172533	165250
	172564	165258
	172573	165281
	172597	165290
	172598	165299
	172620	165312
	172632	165376
	172642	165385
	172648	165385
	172658	165389
	172667	165393
	172684	165407
	172687	165407
	172687	165411
	172690	165415
	172694	165423
	172740	165436
	172752	165442
	172782	165456
	172784	165460
	172792	165469
	172803	165493
	172813	165508
	172831	165510
	172838	165510
	172845	165530
	172850	165541
	172854	165544
	172863	165549
	172882	165567
	172883	165571
	172897	165578
	172898	165582
	172913	165586
	172919	165607
	172928	165610
	172937	165613
	172946	165619
	172950	165620
	172959	165633
	172974	165658
	172980	165668
	172983	165675
	172990	165690
	173019	165753
	173039	165760
	173040	165777
	173049	165782
	173049	165799
	173062	165805
	173065	165832
	173075	165836
	173094	165838
	173099	165838
	173109	165848
	173115	165868
	173118	165869
	173126	165878
	173161	165880
	173174	165882
	173178	165908
	173244	165940
	173272	165947
	173285	165947
	173323	165969
	173353	165996
	173354	166009
	173358	166070
	173358	166089
	173391	166105
	173393	166111
	173395	166121
	173405	166125
	173422	166181
	173441	166195
	173475	166203
	173476	166203
	173481	166219
	173495	166239
	173498	166289
	173501	166330
	173558	166346
	173561	166351
	173568	166372
	173571	166379
	173578	166385
	173579	166417
	173586	166426
	173589	166443
	173590	166445
	173592	166454
	173596	166461
	173597	166481
	173623	166483
	173633	166494
	173654	166504
	173654	166515
	173670	166542
	173696	166553
	173709	166575
	173710	166578
	173713	166593
	173725	166603
	173731	166641
	173780	166671
	173784	166672
	173800	166674
	173802	166686
	173838	166709
	173842	166725
	173869	166731
	173880	166733
	173887	166745
	173904	166752
	173925	166752
	173926	166766
	173934	166781
	173944	166794
	173972	166836
	174027	166837
	174029	166871
	174052	166900
	174052	166948
	174073	166995
	174076	167005
	174091	167006
	174095	167041
	174101	167041
	174109	167044
	174133	167054
	174150	167067
	174188	167077
	174205	167088
	174210	167096
	174210	167121
	174265	167130
	174290	167132
	174294	167141
	174296	167171
	174314	167176
	174338	167178
	174350	167207
	174353	167220
	174365	167232
	174366	167232
	174368	167260
	174370	167268
	174375	167271
	174388	167311
	174390	167313
	174410	167317
	174419	167326
	174450	167346
	174455	167362
	174474	167366
	174502	167373
	174517	167388
	174520	167401
	174563	167405
	174593	167406
	174622	167408
	174645	167434
	174661	167450
	174674	167451
	174674	167453
	174693	167463
	174719	167513
	174723	167516
	174724	167517
	174732	167534
	174736	167556
	174767	167578
	174769	167579
	174798	167599
	174807	167608
	174809	167625
	174844	167642
	174846	167659
	174858	167662
	174862	167662
	174880	167669
	174885	167684
	174894	167694
	174907	167708
	174910	167709
	174914	167718
	174946	167727
	174948	167742
	174998	167752
	175013	167783
	175038	167785
	175041	167793
	175042	167793
	175052	167821
	175068	167824
	175074	167828
	175091	167832
	175094	167833
	175097	167854
	175101	167860
	175106	167860
	175134	167892
	175156	167948
	175158	167954
	175159	167977
	175175	167977
	175184	168005
	175187	168036
	175187	168036
	175223	168037
	175229	168049
	175237	168050
	175239	168058
	175246	168065
	175261	168075
	175273	168089
	175286	168089
	175295	168098
	175297	168099
	175299	168099
	175301	168126
	175303	168129
	175318	168129
	175318	168131
	175326	168136
	175341	168136
	175362	168164
	175364	168183
	175413	168193
	175420	168197
	175428	168215
	175429	168228
	175438	168238
	175449	168257
	175456	168276
	175457	168299
	175492	168300
	175494	168305
	175495	168307
	175499	168327
	175531	168347
	175571	168350
	175579	168362
	175586	168376
	175589	168387
	175612	168430
	175614	168443
	175632	168448
	175641	168457
	175650	168477
	175680	168485
	175681	168485
	175682	168521
	175689	168637
	175694	168638
	175703	168646
	175708	168647
	175723	168680
	175738	168680
	175739	168704
	175758	168718
	175761	168744
	175765	168758
	175798	168758
	175819	168766
	175833	168767
	175837	168770
	175847	168782
	175864	168784
	175882	168786
	175906	168801
	175910	168817
	175916	168860
	175933	168887
	175949	168966
	175955	168974
	175965	168979
	175969	168979
	175970	168992
	175972	169008
	175981	169010
	175987	169012
	176021	169012
	176076	169019
	176090	169064
	176091	169074
	176123	169104
	176126	169111
	176168	169123
	176194	169148
	176194	169148
	176203	169167
	176204	169184
	176208	169186
	176227	169190
	176234	169193
	176236	169195
	176243	169198
	176254	169212
	176257	169221
	176259	169227
	176267	169259
	176271	169265
	176278	169279
	176301	169285
	176305	169285
	176355	169287
	176361	169341
	176371	169364
	176379	169398
	176391	169411
	176405	169424
	176413	169426
	176450	169429
	176470	169438
	176522	169470
	176524	169481
	176529	169489
	176529	169497
	176532	169501
	176547	169508
	176550	169522
	176552	169527
	176557	169535
	176557	169539
	176576	169562
	176576	169562
	176585	169579
	176596	169582
	176621	169604
	176633	169624
	176645	169636
	176646	169636
	176647	169650
	176651	169653
	176671	169658
	176680	169663
	176716	169678
	176753	169691
	176774	169697
	176777	169718
	176797	169731
	176816	169737
	176817	169738
	176824	169753
	176885	169764
	176912	169769
	176965	169777
	176967	169779
	176978	169791
	176997	169811
	177023	169813
	177088	169814
	177100	169817
	177129	169817
	177133	169837
	177135	169837
	177146	169839
	177159	169847
	177224	169847
	177225	169856
	177225	169874
	177234	169905
	177241	169906
	177242	169936
	177242	169945
	177243	169953
	177261	169955
	177287	169967
	177334	169967
	177394	169973
	177419	170006
	177427	170010
	177441	170042
	177441	170045
	177456	170060
	177463	170096
	177473	170096
	177495	170111
	177496	170116
	177499	170123
	177533	170143
	177537	170168
	177538	170168
	177555	170172
	177568	170180
	177576	170189
	177585	170203
	177586	170206
	177610	170215
	177626	170215
	177630	170218
	177640	170270
	177666	170273
	177694	170275
	177696	170278
	177704	170281
	177729	170289
	177751	170319
	177751	170338
	177769	170350
	177776	170363
	177795	170369
	177800	170369
	177832	170380
	177850	170380
	177851	170405
	177906	170409
	177922	170431
	177935	170431
	177944	170433
	177961	170442
	177986	170445
	177990	170461
	178005	170502
	178021	170529
	178026	170550
	178050	170554
	178056	170565
	178058	170574
	178068	170574
	178073	170583
	178075	170595
	178082	170601
	178091	170655
	178102	170656
	178104	170662
	178104	170683
	178114	170683
	178117	170710
	178148	170713
	178150	170773
	178172	170777
	178199	170780
	178205	170784
	178213	170794
	178236	170794
	178280	170811
	178296	170827
	178301	170833
	178314	170870
	178326	170870
	178331	170885
	178339	170887
	178351	170897
	178375	170905
	178376	170910
	178389	170927
	178393	170951
	178418	170952
	178432	170960
	178447	170980
	178468	170985
	178521	170988
	178521	171002
	178539	171035
	178540	171055
	178547	171058
	178582	171063
	178589	171099
	178600	171100
	178625	171106
	178644	171113
	178648	171115
	178657	171115
	178695	171115
	178707	171116
	178736	171161
	178763	171182
	178781	171204
	178784	171218
	178787	171232
	178789	171248
	178797	171267
	178821	171268
	178835	171280
	178850	171281
	178868	171283
	178884	171292
	178893	171318
	178898	171329
	178900	171338
	178909	171382
	178917	171419
	178918	171444
	178919	171451
	178935	171456
	178954	171490
	178959	171491
	178961	171504
	178961	171507
	178964	171516
	178993	171522
	179003	171529
	179023	171531
	179027	171531
	179052	171531
	179065	171549
	179073	171549
	179084	171561
	179092	171575
	179107	171596
	179112	171630
	179125	171631
	179136	171637
	179142	171640
	179154	171646
	179156	171676
	179163	171682
	179164	171687
	179166	171696
	179171	171725
	179180	171729
	179192	171747
	179215	171773
	179222	171789
	179241	171794
	179247	171797
	179248	171805
	179255	171805
	179263	171806
	179272	171812
	179277	171822
	179284	171831
	179294	171840
	179294	171859
	179298	171860
	179304	171864
	179310	171864
	179313	171896
	179318	171912
	179324	171913
	179351	171923
	179355	171923
	179368	171923
	179406	171947
	179443	171951
	179454	171951
	179463	171951
	179492	171968
	179501	171983
	179526	171999
	179540	172000
	179546	172000
	179549	172009
	179569	172015
	179585	172018
	179607	172020
	179613	172029
	179633	172057
	179634	172074
	179635	172101
	179647	172119
	179661	172119
	179675	172122
	179679	172138
	179720	172145
	179740	172154
	179743	172155
	179760	172160
	179776	172167
	179781	172167
	179783	172177
	179785	172184
	179792	172184
	179798	172187
	179819	172192
	179820	172213
	179858	172213
	179865	172226
	179869	172284
	179871	172297
	179883	172303
	179887	172315
	179889	172316
	179900	172317
	179911	172319
	179927	172319
	179933	172320
	179935	172332
	179959	172345
	179977	172364
	179989	172370
	179989	172383
	180003	172394
	180028	172394
	180099	172395
	180121	172398
	180142	172400
	180168	172456
	180184	172468
	180191	172471
	180194	172471
	180199	172506
	180207	172507
	180213	172521
	180225	172523
	180229	172536
	180244	172537
	180250	172548
	180258	172549
	180291	172554
	180301	172589
	180302	172603
	180320	172654
	180321	172659
	180322	172661
	180348	172678
	180363	172681
	180377	172691
	180407	172725
	180451	172743
	180454	172772
	180494	172773
	180530	172790
	180560	172818
	180572	172826
	180587	172871
	180588	172874
	180588	172896
	180593	172919
	180617	172920
	180649	172936
	180651	172946
	180664	172960
	180664	172968
	180667	172995
	180672	173001
	180678	173006
	180683	173018
	180689	173025
	180691	173025
	180695	173032
	180707	173041
	180714	173072
	180731	173073
	180741	173087
	180750	173096
	180772	173114
	180786	173123
	180792	173125
	180793	173135
	180796	173138
	180829	173142
	180830	173143
	180836	173168
	180844	173182
	180847	173190
	180861	173196
	180884	173203
	180898	173217
	180915	173234
	180928	173235
	180972	173259
	180986	173271
	181007	173305
	181015	173313
	181017	173316
	181028	173328
	181029	173349
	181052	173353
	181061	173353
	181065	173355
	181086	173361
	181112	173361
	181130	173385
	181132	173385
	181133	173409
	181141	173410
	181144	173423
	181157	173425
	181161	173466
	181167	173472
	181194	173473
	181196	173476
	181198	173486
	181209	173497
	181231	173504
	181246	173508
	181251	173521
	181266	173530
	181268	173551
	181311	173565
	181323	173565
	181329	173575
	181355	173576
	181356	173594
	181377	173610
	181378	173618
	181385	173639
	181385	173640
	181386	173640
	181418	173670
	181460	173683
	181467	173683
	181473	173683
	181474	173691
	181499	173698
	181524	173744
	181533	173754
	181542	173759
	181563	173760
	181567	173764
	181575	173782
	181577	173794
	181582	173822
	181605	173847
	181624	173847
	181629	173874
	181657	173879
	181675	173880
	181710	173888
	181716	173901
	181734	173912
	181739	173928
	181742	173929
	181747	173948
	181748	173963
	181762	173977
	181767	173978
	181770	173982
	181783	174002
	181785	174005
	181796	174005
	181800	174005
	181818	174030
	181825	174045
	181878	174050
	181892	174062
	181897	174072
	181901	174072
	181907	174080
	181910	174098
	181917	174099
	181945	174167
	181985	174169
	181987	174207
	181988	174211
	182020	174211
	182021	174220
	182030	174226
	182036	174228
	182040	174242
	182044	174264
	182046	174265
	182115	174277
	182142	174280
	182144	174286
	182144	174297
	182171	174303
	182206	174309
	182241	174313
	182263	174330
	182310	174334
	182310	174377
	182322	174377
	182337	174379
	182356	174387
	182364	174392
	182381	174392
	182384	174409
	182408	174444
	182410	174455
	182410	174492
	182414	174495
	182445	174505
	182471	174518
	182478	174526
	182485	174534
	182496	174547
	182505	174551
	182530	174555
	182537	174556
	182565	174558
	182568	174564
	182581	174567
	182586	174570
	182588	174572
	182596	174581
	182596	174585
	182643	174604
	182694	174639
	182717	174659
	182746	174673
	182753	174677
	182762	174680
	182782	174685
	182787	174706
	182800	174706
	182818	174712
	182818	174721
	182833	174734
	182837	174748
	182845	174748
	182847	174749
	182847	174762
	182851	174780
	182858	174794
	182864	174803
	182889	174815
	182908	174822
	182919	174843
	182927	174857
	182936	174858
	182945	174860
	182954	174873
	182987	174880
	182992	174880
	182999	174885
	183029	174902
	183035	174904
	183044	174904
	183066	174909
	183074	174910
	183076	174972
	183084	174972
	183084	174978
	183110	174980
	183131	174995
	183149	175007
	183150	175048
	183185	175061
	183185	175073
	183214	175081
	183227	175120
	183228	175134
	183229	175139
	183230	175143
	183235	175143
	183285	175150
	183298	175183
	183321	175196
	183322	175200
	183327	175238
	183343	175265
	183353	175274
	183362	175284
	183362	175327
	183363	175346
	183367	175380
	183450	175380
	183473	175390
	183474	175390
	183484	175393
	183523	175419
	183533	175423
	183535	175430
	183570	175447
	183574	175475
	183585	175475
	183591	175499
	183605	175505
	183614	175505
	183622	175519
	183630	175529
	183652	175532
	183654	175559
	183663	175573
	183685	175577
	183690	175584
	183702	175608
	183706	175619
	183720	175624
	183721	175629
	183722	175642
	183770	175661
	183797	175667
	183826	175716
	183827	175789
	183831	175809
	183837	175837
	183855	175847
	183858	175858
	183864	175865
	183868	175878
	183872	175884
	183896	175915
	183929	175915
	183933	175977
	183945	175988
	183949	175988
	183955	175988
	183958	175993
	183962	176007
	183973	176013
	183976	176013
	183981	176013
	183983	176029
	183992	176038
	183995	176038
	184046	176075
	184050	176102
	184058	176105
	184092	176107
	184095	176112
	184105	176122
	184106	176139
	184131	176143
	184147	176143
	184152	176151
	184153	176197
	184157	176198
	184177	176232
	184196	176232
	184201	176243
	184209	176251
	184216	176268
	184219	176272
	184224	176272
	184225	176280
	184228	176288
	184235	176298
	184268	176300
	184297	176318
	184329	176334
	184352	176348
	184363	176348
	184389	176348
	184402	176348
	184426	176353
	184430	176377
	184443	176377
	184471	176405
	184494	176423
	184512	176424
	184514	176440
	184543	176461
	184559	176479
	184561	176484
	184561	176491
	184567	176492
	184577	176492
	184680	176507
	184693	176527
	184708	176544
	184756	176553
	184762	176580
	184772	176617
	184798	176668
	184803	176682
	184815	176686
	184817	176691
	184823	176709
	184859	176728
	184883	176728
	184888	176730
	184899	176745
	184904	176762
	184916	176779
	184940	176818
	184956	176825
	184957	176830
	184959	176837
	184966	176848
	184972	176859
	185004	176872
	185011	176889
	185044	176897
	185052	176914
	185056	176921
	185057	176921
	185064	176934
	185071	176938
	185094	176938
	185095	176938
	185095	176968
	185103	176969
	185111	176976
	185118	176991
	185126	176996
	185160	177008
	185165	177030
	185165	177030
	185179	177030
	185180	177037
	185193	177050
	185195	177053
	185205	177055
	185211	177056
	185226	177056
	185233	177059
	185236	177084
	185239	177086
	185254	177094
	185257	177103
	185260	177103
	185266	177110
	185274	177119
	185277	177126
	185279	177138
	185308	177142
	185308	177142
	185319	177151
	185319	177162
	185328	177173
	185335	177183
	185365	177191
	185385	177220
	185393	177220
	185395	177288
	185399	177288
	185424	177288
	185460	177329
	185463	177330
	185507	177331
	185509	177344
	185514	177349
	185535	177370
	185548	177373
	185552	177386
	185564	177387
	185566	177398
	185569	177403
	185579	177410
	185587	177422
	185590	177464
	185602	177478
	185627	177521
	185639	177530
	185639	177535
	185640	177541
	185680	177541
	185690	177544
	185700	177562
	185702	177569
	185715	177582
	185716	177602
	185717	177609
	185733	177618
	185740	177643
	185741	177658
	185765	177692
	185770	177692
	185781	177752
	185789	177763
	185800	177774
	185831	177774
	185857	177776
	185859	177791
	185859	177791
	185860	177829
	185861	177832
	185879	177834
	185883	177835
	185886	177846
	185906	177846
	185918	177855
	185932	177856
	185947	177856
	185959	177856
	185961	177906
	185968	177913
	185973	177929
	185991	177935
	185999	177943
	186035	177945
	186054	177946
	186057	177962
	186060	177962
	186064	177962
	186065	177965
	186072	177974
	186081	177994
	186135	178007
	186139	178023
	186147	178055
	186158	178058
	186166	178070
	186179	178103
	186194	178110
	186222	178135
	186255	178136
	186255	178136
	186284	178136
	186303	178141
	186307	178155
	186312	178169
	186316	178190
	186319	178203
	186366	178215
	186374	178222
	186383	178241
	186413	178258
	186430	178285
	186447	178293
	186451	178300
	186455	178301
	186490	178308
	186504	178336
	186533	178338
	186540	178385
	186543	178394
	186552	178394
	186581	178398
	186598	178403
	186600	178411
	186605	178416
	186608	178440
	186641	178444
	186649	178450
	186650	178451
	186660	178454
	186675	178469
	186732	178475
	186732	178510
	186733	178519
	186736	178520
	186762	178523
	186763	178541
	186765	178542
	186781	178558
	186799	178579
	186808	178593
	186838	178594
	186859	178613
	186879	178614
	186880	178620
	186880	178642
	186917	178656
	186917	178677
	186926	178678
	186933	178700
	186938	178701
	186966	178709
	186996	178724
	187004	178785
	187007	178796
	187022	178813
	187023	178813
	187028	178816
	187029	178837
	187033	178846
	187035	178866
	187108	178883
	187121	178888
	187128	178890
	187137	178896
	187164	178901
	187172	178910
	187194	178912
	187202	178921
	187250	178942
	187253	178944
	187257	178959
	187266	178961
	187278	178967
	187294	178974
	187295	178977
	187300	178991
	187318	178991
	187319	178993
	187329	179009
	187337	179015
	187343	179029
	187358	179033
	187368	179052
	187386	179056
	187397	179073
	187406	179113
	187428	179121
	187462	179130
	187481	179143
	187490	179147
	187494	179147
	187524	179150
	187537	179160
	187542	179161
	187544	179161
	187550	179189
	187570	179192
	187580	179196
	187639	179209
	187648	179212
	187652	179214
	187654	179217
	187665	179224
	187666	179234
	187667	179291
	187679	179301
	187696	179303
	187699	179307
	187723	179312
	187739	179340
	187745	179347
	187760	179353
	187760	179360
	187767	179369
	187777	179383
	187778	179414
	187784	179417
	187788	179417
	187791	179418
	187829	179434
	187836	179474
	187846	179488
	187870	179491
	187875	179492
	187883	179499
	187895	179499
	187896	179521
	187901	179552
	187902	179553
	187913	179559
	187918	179570
	187930	179600
	187935	179600
	187946	179604
	187954	179645
	187962	179645
	187967	179655
	187975	179658
	187975	179666
	188001	179667
	188015	179677
	188054	179697
	188068	179720
	188079	179733
	188081	179743
	188093	179761
	188097	179767
	188129	179782
	188134	179809
	188138	179831
	188150	179832
	188156	179844
	188168	179853
	188220	179853
	188226	179853
	188253	179865
	188268	179869
	188279	179873
	188293	179882
	188306	179914
	188348	179934
	188367	179940
	188378	179971
	188429	179991
	188432	179995
	188439	180010
	188452	180013
	188474	180014
	188479	180025
	188490	180056
	188506	180061
	188545	180075
	188550	180079
	188551	180088
	188557	180089
	188601	180095
	188610	180133
	188616	180142
	188636	180190
	188647	180190
	188669	180190
	188672	180191
	188685	180228
	188690	180256
	188699	180273
	188717	180273
	188726	180279
	188754	180288
	188758	180292
	188760	180301
	188778	180301
	188783	180308
	188797	180309
	188816	180323
	188823	180331
	188824	180335
	188825	180338
	188832	180343
	188838	180360
	188851	180368
	188861	180371
	188892	180399
	188918	180426
	188921	180441
	188938	180450
	188942	180466
	188994	180466
	189036	180480
	189043	180481
	189065	180482
	189112	180482
	189117	180485
	189139	180497
	189140	180508
	189141	180508
